,,,attendance,data_earnedruns,data_playerid,date,daynight,fieldcond,gwrbi,hometeam,howscored,inputprogvers,inputter,inputtime,lp,number,oscorer,pitches,play_count,play_event,play_homevisitor,play_inning,play_pitches,play_playerid,precip,save,scorer,site,sky,start_battingposition,start_fieldingposition,start_playerid,start_playersname,start_visithometeam,starttime,sub_battingposition,sub_fieldingposition,sub_homevisitor,sub_playerid,sub_playersname,temp,timeofgame,translator,ump1b,ump2b,ump3b,umphome,usedh,visteam,winddir,windspeed,wp,jetLag
1980,1980ATL.EVN,ATL198004170,15742,0,garbg001,1980/04/17,night,unknown,dried001,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/11/01 12:46PM,niekp001,0,,none,??,7,1,9,,murpd001,unknown,,"""ATL",ATL01,unknown,9,1,niekp001,"""Phil Niekro""",1,0:00PM,9,1,1,garbg001,"""Gene Garber""",0,134,"""Clem Comly""",brocf901,rungp901,quicj901,dalej901,false,CIN,unknown,-1,pastf001,
1980,1980ATL.EVN,ATL198004180,5624,0,matur101,1980/04/18,night,unknown,pocob001,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/11/01 12:50PM,leibc001,0,,none,??,3/G,0,9,,dried001,unknown,,"""ATL",ATL01,unknown,9,1,matur101,"""Rick Matula""",1,0:00PM,9,1,0,baird001,"""Doug Bair""",0,108,"""Clem Comly""",rungp901,quicj901,dalej901,brocf901,false,CIN,unknown,-1,matur101,
1980,1980ATL.EVN,ATL198004190,9684,0,bradl101,1980/04/19,night,unknown,knigr001,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/11/01 12:57PM,alexd001,0,,none,??,2/FL,1,9,,murpd001,unknown,,"""ATL",ATL01,unknown,9,1,alexd001,"""Doyle Alexander""",1,0:00PM,9,2,1,nolaj001,"""Joe Nolan""",0,145,"""Clem Comly""",quicj901,engeb901,dalej901,rungp901,false,CIN,unknown,-1,bonhb101,
1980,1980ATL.EVN,ATL198004200,8002,0,hraba101,1980/04/20,day,unknown,fostg001,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/10/29 3:47PM,bradl101,0,,none,??,9,1,9,,blanl101,unknown,humet001,"""CIN",ATL01,unknown,9,1,boggt001,"""Tommy Boggs""",1,0:00PM,9,11,1,burrj001,"""Jeff Burroughs""",0,153,"""Clem Comly""",engeb901,dalej901,brocf901,quicj901,false,CIN,unknown,-1,tomld001,
1980,1980ATL.EVN,ATL198004220,4710,0,hraba101,1980/04/22,night,unknown,blanl101,ATL,park,"""version 7RS(19) of 07/07/92""","""De Jong""",1995/08/06 12:57PM,shirb001,0,,none,??,HR/7,1,10,,blanl101,unknown,,"""Atl""",ATL01,unknown,9,1,niekp001,"""Phil Niekro""",1,0:00PM,9,1,0,shirb001,"""Bob Shirley""",0,209,"""Comly""",colon901,brocf901,crawj901,olsea901,false,SDN,unknown,-1,hraba101,
1980,1980ATL.EVN,ATL198004230,4166,0,hraba101,1980/04/23,night,unknown,,ATL,park,"""version 7RS(19) of 07/07/92""","""De Jong""",1995/08/05 8:36PM,joner101,0,,none,??,53,0,9,,cashd101,unknown,hraba101,"""Atl""",ATL01,unknown,9,1,matur101,"""Rick Matula""",1,0:00PM,7,11,0,kendf101,"""Fred Kendall""",0,149,"""Comly""",brocf901,crawj901,harvd901,colon901,false,SDN,unknown,-1,matur101,
1980,1980ATL.EVN,ATL198004240,4498,0,garbg001,1980/04/24,night,unknown,asseb101,ATL,park,"""version 7RS(19) of 07/07/92""","""De Jong""",1995/08/05 6:41PM,fingr001,0,,none,??,S8.1-2;2-H,1,9,,asseb101,unknown,,"""Atl""",ATL01,unknown,9,1,alexd001,"""Doyle Alexander""",1,0:00PM,9,1,0,fingr001,"""Rollie Fingers""",0,196,"""Comly""",crawj901,harvd901,olsea901,brocf901,false,SDN,unknown,-1,garbg001,
1980,1980ATL.EVN,ATL198004250,6929,0,bradl101,1980/04/25,night,unknown,chamc001,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/10/31 1:00PM,bahns101,0,,none,??,D8.2-H;1-3,1,11,,chamc001,unknown,,"""ATL""",ATL01,unknown,9,1,boggt001,"""Tommy Boggs""",1,0:00PM,9,1,0,normf101,"""Fred Norman""",0,193,"""Clem Comly""",froeb901,tatat901,kiblj901,steld901,false,MON,unknown,-1,bradl101,
1980,1980ATL.EVN,ATL198004260,13705,0,hannp101,1980/04/26,night,unknown,speic001,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/10/31 1:06PM,niekp001,0,,none,??,7,1,9,,chamc001,unknown,frymw101,"""ATL""",ATL01,unknown,9,1,niekp001,"""Phil Niekro""",1,0:00PM,9,1,0,frymw101,"""Woodie Fryman""",0,155,"""Clem Comly""",tatat901,kiblj901,steld901,froeb901,false,MON,unknown,-1,grimr101,
1980,1980ATL.EVN,ATL198004270,12917,0,hraba101,1980/04/27,day,unknown,chamc001,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/10/31 1:55PM,sands001,0,,none,??,7,0,9,,leflr101,unknown,hraba101,"""ATL""",ATL01,unknown,9,1,mcwil001,"""Larry McWilliams""",1,0:00PM,8,11,0,tamaj101,"""John Tamargo""",0,164,"""Clem Comly""",kiblj901,steld901,froeb901,tatat901,false,MON,unknown,-1,mcwil001,
1980,1980ATL.EVN,ATL198005090,11111,0,bradl101,1980/05/09,night,unknown,asseb101,ATL,park,"""version 7RS(19) of 07/07/92""","""David W. Smith""",1996/09/17 3:35PM,forsk001,0,,none,??,64(1)3/GDP,0,9,,cruzj001,unknown,bradl101,"""HOU",ATL01,unknown,9,1,mcwil001,"""Larry McWilliams""",1,0:00PM,9,1,1,bradl101,"""Larry Bradford""",0,141,"""Clem Comly""",mcshj901,westj901,brocf901,pryop901,false,HOU,unknown,-1,mcwil001,
